semana,indice,id,titulo,descricao,tipo,texto_completo,links,materiais,arquivos
Semana 01,1,cce22e534d6647668ec29dcb3907743e,"Onboarding, Sprint planning 1",04/08/2025 - 14:00h,Outros,"Onboarding, Sprint planning 1








04/08/2025 - 14:00h",,,
Semana 01,2,24ad9dd5d40241bfa5f66aab0275d46b,"Introdução a Arquitetura de Sistemas de Software segundo ISO/IEC 42010, Pressman, ISO/IEC 10746","05/08/2025 - 14:00h








Reginaldo Arakaki",Outros,"Introdução a Arquitetura de Sistemas de Software segundo ISO/IEC 42010, Pressman, ISO/IEC 10746 








05/08/2025 - 14:00h








Reginaldo Arakaki",,,
Semana 01,3,e841882e8f39444db065f4c8384f2cfa,"O PROBLEMA CENTRAL, FOCO DESTA INSTRUÇÃO: Qual a diferença básica dos  perfis de um Técnico de Programação em relação a de um Engenheiro de Software: É a visão e conhecimento da Arquitetura do Sistema de Software.",Reginaldo Arakaki,Outros,"O PROBLEMA CENTRAL, FOCO DESTA INSTRUÇÃO: Qual a diferença básica dos  perfis de um Técnico de Programação em relação a de um Engenheiro de Software: É a visão e conhecimento da Arquitetura do Sistema de Software.








Reginaldo Arakaki",,,
Semana 01,4,dd5b87487a344f0b9e3f967be1a64d87,Autoestudo 1 (Instrução Arquitetura de Sistemas de Software) - Ciclo de Vida de Sistema de Software (Segundo Pressman),Reginaldo Arakaki,Outros,"Autoestudo 1 (Instrução Arquitetura de Sistemas de Software) - Ciclo de Vida de Sistema de Software (Segundo Pressman)








Reginaldo Arakaki",,,
Semana 01,5,0290f18edf044badb95b573c4d7043d0,Autoestudo 2 (Instrução Arquitetura de Sistemas de Software) - Visão geral da Norma ISO 12207,Reginaldo Arakaki,Outros,"Autoestudo 2 (Instrução Arquitetura de Sistemas de Software) - Visão geral da Norma ISO 12207








Reginaldo Arakaki",,,
Semana 01,6,4277c4bb61634ee187e90b3f245eb399,Autoestudo 3 (Instrução Arquitetura de Sistemas de Software) - Visões arquiteturais (Pontos de vistas e stakeholders),Reginaldo Arakaki,Outros,"Autoestudo 3 (Instrução Arquitetura de Sistemas de Software) - Visões arquiteturais (Pontos de vistas e stakeholders)








Reginaldo Arakaki",,,
Semana 01,7,a90e2f22491a44e998fae38820f748e7,Especificação de Requisitos de Sistemas de Software (Requisitos derivados do domínio da aplicação e dos Business Drivers),"06/08/2025 - 14:00h








Reginaldo Arakaki",Outros,"Especificação de Requisitos de Sistemas de Software (Requisitos derivados do domínio da aplicação e dos Business Drivers)








06/08/2025 - 14:00h








Reginaldo Arakaki",,,
Semana 01,8,c16e1651d4bb436c83302eaea948935f,"O PROBLEMA CENTRAL, FOCO DESTA INSTRUÇÃO: Especificação de sistemas - ""Especificar é perda de tempo ... Quero codar""",Reginaldo Arakaki,Outros,"O PROBLEMA CENTRAL, FOCO DESTA INSTRUÇÃO: Especificação de sistemas - ""Especificar é perda de tempo ... Quero codar""








Reginaldo Arakaki",,,
Semana 01,9,7932963ca51441cd9ee3b12a6827e7af,Autoestudo 1 (Instrução Especificação de Requisitos de Software) - Um exemplo de modelagem como especificação de requisito.,Reginaldo Arakaki,Outros,"Autoestudo 1 (Instrução Especificação de Requisitos de Software) - Um exemplo de modelagem como especificação de requisito.








Reginaldo Arakaki",,,
Semana 01,10,dc3be6b0f38a415e81849ae44e742fb8,Autoestudo 2 (Instrução Especificação de Requisitos de Software) - Tática da disponibilidade e de segurança (comparar com os módulos anteriores),Reginaldo Arakaki,Outros,"Autoestudo 2 (Instrução Especificação de Requisitos de Software) - Tática da disponibilidade e de segurança (comparar com os módulos anteriores)








Reginaldo Arakaki",,,
